address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,title,url,year_built
Skoalikkers 21,,,Augustinusga,9284 TS,,294500,house,6,,,https://www.funda.nl/koop/augustinusga/huis-40858019-skoalikkers-21/,1990
De Achtkant 7,,,Buitenpost,9285 VH,,259000,house,6,,,https://www.funda.nl/koop/buitenpost/huis-40899954-de-achtkant-7/,1978
Middelwyk 4,,,Harkema,9281 SE,,309000,house,5,,,https://www.funda.nl/koop/harkema/huis-40825223-middelwyk-4/,1996
Casimirstrjitte 7,,,Kootstertille,9288 BN,,139500,house,6,,,https://www.funda.nl/koop/kootstertille/huis-86936752-casimirstrjitte-7/,1971
Mûntsetille 3,,,Kootstertille,9288 XE,,749000,house,7,,,https://www.funda.nl/koop/kootstertille/huis-86230454-muntsetille-3/,1985
Koetsekralen 69,,,Harkema,9281 RS,,189500,house,6,,,https://www.funda.nl/koop/harkema/huis-40886103-koetsekralen-69/,1978
Van Harinxmastrjitte 12,,,Kootstertille,9288 BC,,158000,house,5,,,https://www.funda.nl/koop/kootstertille/huis-49786259-van-harinxmastrjitte-12/,1970
Spekloane 25,,,Boelenslaan,9233 LK,,695000,house,10,,,https://www.funda.nl/koop/boelenslaan/huis-85830802-spekloane-25/,2010
It West 2 a,,,Augustinusga,9284 KE,,289000,house,5,,,https://www.funda.nl/koop/augustinusga/huis-49157846-it-west-2-a/,1995
De Lauwers 29,,,Gerkesklooster,9873 RV,,165000,house,5,,,https://www.funda.nl/koop/gerkesklooster/huis-85298065-de-lauwers-29/,1994
Concourslaan 18,,,Buitenpost,9285 SH,,150000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-86247029-concourslaan-18/,1978
Voorstraat 36,,,Buitenpost,9285 NS,,325000,house,11,,,https://www.funda.nl/koop/buitenpost/huis-83784211-voorstraat-36/,1906
Molenerf 128,,,Buitenpost,9285 VR,,205000,house,7,,,https://www.funda.nl/koop/buitenpost/huis-86079743-molenerf-128/,1980
Kerkstraat 31,,,Buitenpost,9285 TA,,125000,apartment,3,,,https://www.funda.nl/koop/buitenpost/appartement-85829268-kerkstraat-31/,1970
Friese Streek 27,,,Stroobos,9872 PP,,115000,house,4,,,https://www.funda.nl/koop/stroobos/huis-84446950-friese-streek-27/,1910
Optwizel 48 -50,,,Twijzel,9286 EE,,225000,house,7,,,https://www.funda.nl/koop/twijzel/huis-85521382-optwizel-48-50/,1905
It Noard 2,,,Surhuizum,9283 TB,,439000,house,6,,,https://www.funda.nl/koop/surhuizum/huis-83898214-it-noard-2/,1935
Skoallepaad 1,,,Drogeham,9289 HA,,276000,house,5,,,https://www.funda.nl/koop/drogeham/huis-85513146-skoallepaad-1/,2004
De Resken 1,,,Twijzelerheide,9287 NW,,219000,house,5,,,https://www.funda.nl/koop/twijzelerheide/huis-48887354-de-resken-1/,1980
Casimirstrjitte 27,,,Kootstertille,9288 BN,,129000,house,5,,,https://www.funda.nl/koop/kootstertille/huis-86038286-casimirstrjitte-27/,1971
Earme Trije 7,,,Buitenpost,9285 JC,,299000,house,6,,,https://www.funda.nl/koop/buitenpost/huis-86909555-earme-trije-7/,2010
Klaarkamp 4,,,Gerkesklooster,9873 RH,,99000,house,4,,,https://www.funda.nl/koop/gerkesklooster/huis-86116187-klaarkamp-4/,1972
Concourslaan 30,,,Buitenpost,9285 SH,,174500,house,5,,,https://www.funda.nl/koop/buitenpost/huis-86221717-concourslaan-30/,1973
Mejontsmastraat 19,,,Buitenpost,9285 RD,,225000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-86228125-mejontsmastraat-19/,1968
Ruiterstraat 15,,,Buitenpost,9285 RW,,147500,house,6,,,https://www.funda.nl/koop/buitenpost/huis-86238976-ruiterstraat-15/,1971
Tillebuorren 28,,,Kootstertille,9288 AP,,99000,house,4,,,https://www.funda.nl/koop/kootstertille/huis-40733875-tillebuorren-28/,1925
It Heideloantsje 16 A,,,Twijzelerheide,9287 HC,,485000,house,8,,,https://www.funda.nl/koop/twijzelerheide/huis-40606266-it-heideloantsje-16-a/,2012
Boelenswei 50,,,Boelenslaan,9233 KD,,219000,house,5,,,https://www.funda.nl/koop/boelenslaan/huis-40698761-boelenswei-50/,1931
Ike Buorren,,,Drogeham,9289 HP,,158000,apartment,3,,,https://www.funda.nl/koop/drogeham/appartement-85509191-ike-buorren/,2017
De Dellen,,,Surhuisterveen,9231 EC,,255000,house,4,,,https://www.funda.nl/koop/surhuisterveen/huis-49347689-de-dellen/,2017
Homear 34,,,Harkema,9281 LP,,280000,house,6,,,https://www.funda.nl/koop/harkema/huis-85059822-homear-34/,1967
Jeltingalaan 11,,,Buitenpost,9285 WH,,174000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-40886975-jeltingalaan-11/,1927
Master Hoeksmawei 26,,,Drogeham,9289 JM,,145000,house,4,,,https://www.funda.nl/koop/drogeham/huis-40866648-master-hoeksmawei-26/,1985
Zw.Kooistraat 11,,,Stroobos,9871 PB,,117500,house,5,,,https://www.funda.nl/koop/stroobos/huis-40873261-zwkooistraat-11/,1969
De Dellen,,,Surhuisterveen,9231 EC,,185000,house,3,,,https://www.funda.nl/koop/surhuisterveen/huis-49347687-de-dellen/,2017
De Dellen,,,Surhuisterveen,9231 EC,,185000,house,3,,,https://www.funda.nl/koop/surhuisterveen/huis-49347688-de-dellen/,2017
Tsjerkepaed 18,,,Twijzelerheide,9287 LS,,152000,house,7,,,https://www.funda.nl/koop/twijzelerheide/huis-47148640-tsjerkepaed-18/,1978
Fiifhuzen 29,,,Harkema,9281 LH,,275000,house,6,,,https://www.funda.nl/koop/harkema/huis-47337298-fiifhuzen-29/,1978
Sarabos 19,,,Gerkesklooster,9873 TH,,425000,house,5,,,https://www.funda.nl/koop/gerkesklooster/huis-49054677-sarabos-19/,1840
De Buorren 8,,,Drogeham,9289 HG,,249000,house,4,,,https://www.funda.nl/koop/drogeham/huis-40685815-de-buorren-8/,1916
Koelstrawei 17,,,Twijzelerheide,9287 NS,,139500,house,4,,,https://www.funda.nl/koop/twijzelerheide/huis-86194076-koelstrawei-17/,1980
Zw.Kooistraat 34,,,Stroobos,9871 PC,,115000,house,4,,,https://www.funda.nl/koop/stroobos/huis-86223237-zwkooistraat-34/,1973
Kammingastrjitte 52,,,Harkema,9281 PE,,300000,house,4,,,https://www.funda.nl/koop/harkema/huis-86239359-kammingastrjitte-52/,1960
Tsjerkepaed 9,,,Twijzelerheide,9287 LR,,137500,house,7,,,https://www.funda.nl/koop/twijzelerheide/huis-40872652-tsjerkepaed-9/,1972
Van Stolbergstrjitte 23,,,Kootstertille,9288 BE,,139000,house,6,,,https://www.funda.nl/koop/kootstertille/huis-47150037-van-stolbergstrjitte-23/,1972
Tsjerkelân 5,,,Twijzel,9286 GN,,249500,house,6,,,https://www.funda.nl/koop/twijzel/huis-40421102-tsjerkelan-5/,1996
De Dellen,,,Surhuisterveen,9231 EC,,195000,house,3,,,https://www.funda.nl/koop/surhuisterveen/huis-49287158-de-dellen/,2017
De Dellen,,,Surhuisterveen,9231 EC,,185000,house,3,,,https://www.funda.nl/koop/surhuisterveen/huis-49287159-de-dellen/,2017
De Dellen,,,Surhuisterveen,9231 EC,,185000,house,3,,,https://www.funda.nl/koop/surhuisterveen/huis-49287150-de-dellen/,2017
Hillebrandsreed 7,,,Twijzelerheide,9287 NN,,298000,house,6,,,https://www.funda.nl/koop/twijzelerheide/huis-47008165-hillebrandsreed-7/,1960
Voorstraat 52,,,Buitenpost,9285 NT,,210000,house,8,,,https://www.funda.nl/koop/buitenpost/huis-47203034-voorstraat-52/,1870
De Delte 15,,,Drogeham,9289 JL,,144000,house,6,,,https://www.funda.nl/koop/drogeham/huis-47210551-de-delte-15/,1979
Groningerstreek 10,,,Stroobos,9871 PE,,147500,house,4,,,https://www.funda.nl/koop/stroobos/huis-48886482-groningerstreek-10/,1906
Het Singel 2,,,Gerkesklooster,9873 PK,,249000,house,12,,,https://www.funda.nl/koop/gerkesklooster/huis-49574974-het-singel-2/,1955
Wibrandstraat 5,,,Gerkesklooster,9873 RC,,117000,house,5,,,https://www.funda.nl/koop/gerkesklooster/huis-49016710-wibrandstraat-5/,1970
Sinneblom-strjitte 8,,,Kootstertille,9288 AJ,,295000,house,8,,,https://www.funda.nl/koop/kootstertille/huis-49294688-sinneblom-strjitte-8/,1985
Warmoltsstrjitte 56,,,Harkema,9281 PT,,150000,house,5,,,https://www.funda.nl/koop/harkema/huis-40512247-warmoltsstrjitte-56/,1966
De Koaten 15,,,Kootstertille,9288 GB,,425000,house,5,,,https://www.funda.nl/koop/kootstertille/huis-40695991-de-koaten-15/,1984
Gysbert Japiksstraat 14,,,Buitenpost,9285 RA,,124000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-40617463-gysbert-japiksstraat-14/,1969
Mounewei 31,,,Twijzel,9286 EJ,,245000,house,4,,,https://www.funda.nl/koop/twijzel/huis-40862076-mounewei-31/,1959
Lisdodde 2,,,Buitenpost,9285 LC,,289000,house,4,,,https://www.funda.nl/koop/buitenpost/huis-86244132-lisdodde-2/,1992
Bonhommestrjitte 31,,,Surhuizum,9283 VB,,249000,house,6,,,https://www.funda.nl/koop/surhuizum/huis-40800724-bonhommestrjitte-31/,1980
De Bonkelaar 26,,,Buitenpost,9285 MG,,165000,house,6,,,https://www.funda.nl/koop/buitenpost/huis-40811408-de-bonkelaar-26/,1983
Verlaatsdam 20,,,Surhuisterveen,9231 MG,,386500,house,6,,,https://www.funda.nl/koop/surhuisterveen/huis-40429825-verlaatsdam-20/,1998
Zetveld 37,,,Surhuisterveen,9231 BN,,259000,house,7,,,https://www.funda.nl/koop/surhuisterveen/huis-40653995-zetveld-37/,1965
De Zeilen 25,,,Buitenpost,9285 ML,,289500,house,8,,,https://www.funda.nl/koop/buitenpost/huis-40663724-de-zeilen-25/,1990
Rykswei 12,,,Kootstertille,9288 CB,,319000,house,7,,,https://www.funda.nl/koop/kootstertille/huis-40682554-rykswei-12/,1905
Kuipersweg 46,,,Buitenpost,9285 SV,,225000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-86074396-kuipersweg-46/,1967
Kuipersweg 40,,,Buitenpost,9285 SV,,249500,house,6,,,https://www.funda.nl/koop/buitenpost/huis-86250185-kuipersweg-40/,1979
Kuipersweg 46 a,,,Buitenpost,9285 SV,,185000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-86250191-kuipersweg-46-a/,1967
Ruterspet 36,,,Harkema,9281 SB,,335000,house,6,,,https://www.funda.nl/koop/harkema/huis-40890619-ruterspet-36/,2006
Mûzefalk 17,,,Harkema,9281 MJ,,374000,house,7,,,https://www.funda.nl/koop/harkema/huis-47292923-muzefalk-17/,2004
De Reiden 14,,,Twijzelerheide,9287 MX,,248000,house,4,,,https://www.funda.nl/koop/twijzelerheide/huis-40493255-de-reiden-14/,1995
Ds Visscherwei 54 1,,,Boelenslaan,9233 LC,,359000,house,6,,,https://www.funda.nl/koop/boelenslaan/huis-40802048-ds-visscherwei-54-1/,1937
De Achtkant 1,,,Buitenpost,9285 VH,,359500,house,7,,,https://www.funda.nl/koop/buitenpost/huis-85407426-de-achtkant-1/,1979
Blauforlaet 2,,,Augustinusga,9284 XH,,399000,house,10,,,https://www.funda.nl/koop/augustinusga/huis-86876225-blauforlaet-2/,1840
Bjirkewei 7,,,Twijzelerheide,9287 LA,,325000,house,5,,,https://www.funda.nl/koop/twijzelerheide/huis-86989504-bjirkewei-7/,1959
Groningerstreek 16,,,Stroobos,9871 PE,,175000,house,4,,,https://www.funda.nl/koop/stroobos/huis-86984832-groningerstreek-16/,1920
De Wedze 22 A,,,Twijzel,9286 EV,,595000,house,5,,,https://www.funda.nl/koop/twijzel/huis-85276284-de-wedze-22-a/,1999
Mûzefalk 2,,,Harkema,9281 MJ,,325000,house,5,,,https://www.funda.nl/koop/harkema/huis-86991520-muzefalk-2/,2001
Nijewei 43,,,Harkema,9281 NS,,298000,house,5,,,https://www.funda.nl/koop/harkema/huis-86219691-nijewei-43/,1989
Eringalaan 1,,,Buitenpost,9285 TP,,295000,house,6,,,https://www.funda.nl/koop/buitenpost/huis-40473947-eringalaan-1/,1957
Dahlia-strjitte 21,,,Kootstertille,9288 AD,,152500,house,4,,,https://www.funda.nl/koop/kootstertille/huis-40533920-dahlia-strjitte-21/,1960
Tsjerkebuorren 31,,,Twijzel,9286 GA,,259500,house,7,,,https://www.funda.nl/koop/twijzel/huis-86076356-tsjerkebuorren-31/,1965
De Flearen 29,,,Harkema,9281 RH,,157500,house,7,,,https://www.funda.nl/koop/harkema/huis-86126853-de-flearen-29/,1976
Wollegras 15,,,Buitenpost,9285 LP,,209000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-86255695-wollegras-15/,1996
De Popels 17,,,Twijzelerheide,9287 LL,,149000,house,4,,,https://www.funda.nl/koop/twijzelerheide/huis-86271895-de-popels-17/,1971
Smitswei 4,,,Twijzelerheide,9287 NE,,225000,house,7,,,https://www.funda.nl/koop/twijzelerheide/huis-49934605-smitswei-4/,1976
Reidpôle 3,,,Harkema,9281 SL,,229000,house,4,,,https://www.funda.nl/koop/harkema/huis-48213779-reidpole-3/,1995
Tillebuorren 7,,,Kootstertille,9288 AN,,324500,house,6,,,https://www.funda.nl/koop/kootstertille/huis-49251726-tillebuorren-7/,1906
Boskbei 6 V,,,Surhuisterveen,9231 NH,,513000,house,6,,,https://www.funda.nl/koop/surhuisterveen/huis-40670836-boskbei-6-v/,2018
De Wyk 26,,,Boelenslaan,9233 MA,,349000,house,5,,,https://www.funda.nl/koop/boelenslaan/huis-40715954-de-wyk-26/,2007
Beatrixstraat 12,,,Buitenpost,9285 TV,,165000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-86276682-beatrixstraat-12/,1955
De Kamp 10,,,Surhuisterveen,9231 BR,,369000,house,5,,,https://www.funda.nl/koop/surhuisterveen/huis-40672907-de-kamp-10/,1977
De Welle 6,,,Twijzelerheide,9287 NV,,179750,house,5,,,https://www.funda.nl/koop/twijzelerheide/huis-86087729-de-welle-6/,1980
Zwanebloem 8,,,Buitenpost,9285 LZ,,265000,house,6,,,https://www.funda.nl/koop/buitenpost/huis-86055580-zwanebloem-8/,1998
Feanterij 4,,,Harkema,9281 NZ,,600000,house,6,,,https://www.funda.nl/koop/harkema/huis-40898404-feanterij-4/,1995
Van Stolbergstrjitte 2,,,Kootstertille,9288 BH,,142500,house,5,,,https://www.funda.nl/koop/kootstertille/huis-49879318-van-stolbergstrjitte-2/,1972
Zetveld 30,,,Surhuisterveen,9231 BP,,289000,house,6,,,https://www.funda.nl/koop/surhuisterveen/huis-40533798-zetveld-30/,1965
Zwitserlaan 39,,,Surhuisterveen,9231 HJ,,179500,house,5,,,https://www.funda.nl/koop/surhuisterveen/huis-40806644-zwitserlaan-39/,1974
Hurdrider 2,,,Surhuisterveen,9231 LB,,475000,house,7,,,https://www.funda.nl/koop/surhuisterveen/huis-49272278-hurdrider-2/,2001
Zw.Kooistraat 10,,,Stroobos,9871 PC,,99500,house,3,,,https://www.funda.nl/koop/stroobos/huis-40891746-zwkooistraat-10/,1973
Nijebuorren 16,,,Harkema,9281 LZ,,147500,apartment,3,,,https://www.funda.nl/koop/harkema/appartement-40889181-nijebuorren-16/,1992
Koarstmoas 13,,,Surhuisterveen,9231 NC,,349000,house,5,,,https://www.funda.nl/koop/surhuisterveen/huis-49297521-koarstmoas-13/,2009
Terpsterwei 1,,,Boelenslaan,9233 LJ,,685000,house,7,,,https://www.funda.nl/koop/boelenslaan/huis-49205464-terpsterwei-1/,2006
De Buorren 53,,,Drogeham,9289 HE,,295000,house,7,,,https://www.funda.nl/koop/drogeham/huis-49318205-de-buorren-53/,1981
Bjirkewei 49 a,,,Twijzelerheide,9287 LA,,279500,house,5,,,https://www.funda.nl/koop/twijzelerheide/huis-40465017-bjirkewei-49-a/,1971
Reahel 9,,,Augustinusga,9284 XG,,550000,house,5,,,https://www.funda.nl/koop/augustinusga/huis-40704415-reahel-9/,1906
Zw.Kooistraat 15,,,Stroobos,9871 PB,,159500,house,4,,,https://www.funda.nl/koop/stroobos/huis-85636982-zwkooistraat-15/,2002
Tsjerkebuorren 3,,,Twijzel,9286 EZ,,219500,house,8,,,https://www.funda.nl/koop/twijzel/huis-49290192-tsjerkebuorren-3/,1931
De Lauwers 19,,,Gerkesklooster,9873 RV,,149900,house,5,,,https://www.funda.nl/koop/gerkesklooster/huis-49311985-de-lauwers-19/,1980
It Súd 39,,,Surhuizum,9283 TT,,935000,house,10,,,https://www.funda.nl/koop/surhuizum/huis-49312570-it-sud-39/,1960
Wetterroas 3,,,Twijzelerheide,9287 MT,,199500,house,5,,,https://www.funda.nl/koop/twijzelerheide/huis-40521321-wetterroas-3/,1998
It Oast 9,,,Augustinusga,9284 TG,,225000,house,4,,,https://www.funda.nl/koop/augustinusga/huis-40693339-it-oast-9/,1972
Opperkoatsterwei 14,,,Kootstertille,9288 GK,,398000,house,7,,,https://www.funda.nl/koop/kootstertille/huis-40609235-opperkoatsterwei-14/,1900
Burmaniastraat 22,,,Surhuisterveen,9231 BV,,184000,house,5,,,https://www.funda.nl/koop/surhuisterveen/huis-40602389-burmaniastraat-22/,1960
Uithof 7,,,Gerkesklooster,9873 RL,,137500,house,4,,,https://www.funda.nl/koop/gerkesklooster/huis-40615914-uithof-7/,1977
Suderheawei 4,,,Surhuizum,9283 XB,,349000,house,5,,,https://www.funda.nl/koop/surhuizum/huis-40625913-suderheawei-4/,1980
West 68,,,Buitenpost,9285 WD,,399000,house,7,,,https://www.funda.nl/koop/buitenpost/huis-40793783-west-68/,1867
Oastkern 16 C,,,Kootstertille,9288 XJ,,465000,house,9,,,https://www.funda.nl/koop/kootstertille/huis-40793878-oastkern-16-c/,2000
Brêgeloane 1,,,Augustinusga,9284 XH,,475000,house,7,,,https://www.funda.nl/koop/augustinusga/huis-40713637-bregeloane-1/,1906
Kuipersweg 3,,,Buitenpost,9285 SN,,249000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-40890034-kuipersweg-3/,1925
Skoalikkers 44,,,Augustinusga,9284 TW,,272500,house,5,,,https://www.funda.nl/koop/augustinusga/huis-40819317-skoalikkers-44/,1936
Ikeloane 45,,,Harkema,9281 RC,,149500,house,6,,,https://www.funda.nl/koop/harkema/huis-49266995-ikeloane-45/,1973
Franklinstraat 6,,,Buitenpost,9285 WT,,449500,house,6,,,https://www.funda.nl/koop/buitenpost/huis-49232897-franklinstraat-6/,1997
De Bosk 11,,,Harkema,9281 NR,,298000,house,5,,,https://www.funda.nl/koop/harkema/huis-49353640-de-bosk-11/,1963
Dahlia-strjitte 49,,,Kootstertille,9288 AD,,150000,house,8,,,https://www.funda.nl/koop/kootstertille/huis-40573694-dahlia-strjitte-49/,1958
Tsjerkepaed 47,,,Twijzelerheide,9287 LR,,179000,house,4,,,https://www.funda.nl/koop/twijzelerheide/huis-40658535-tsjerkepaed-47/,1980
Gysbert Japiksstraat 53,,,Buitenpost,9285 PZ,,239000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-40662993-gysbert-japiksstraat-53/,1964
Warmoltsstrjitte 161,,,Harkema,9281 PP,,235000,house,5,,,https://www.funda.nl/koop/harkema/huis-40675940-warmoltsstrjitte-161/,1959
Boppelânnen 23,,,Twijzel,9286 GE,,299500,house,7,,,https://www.funda.nl/koop/twijzel/huis-40548951-boppelannen-23/,1993
De Buorren 18,,,Drogeham,9289 HG,,160000,house,6,,,https://www.funda.nl/koop/drogeham/huis-40725662-de-buorren-18/,1937
Alde Dyk 32 G,,,Kootstertille,9288 XD,,695000,house,7,,,https://www.funda.nl/koop/kootstertille/huis-40725857-alde-dyk-32-g/,2006
De Havik 55,,,Surhuisterveen,9231 KH,,209000,house,5,,,https://www.funda.nl/koop/surhuisterveen/huis-40732647-de-havik-55/,1986
Jensmastrjitte 4,,,Augustinusga,9284 TR,,129500,house,5,,,https://www.funda.nl/koop/augustinusga/huis-40855191-jensmastrjitte-4/,1972
It Jachtfjild 11,,,Harkema,9281 KV,,595000,house,9,,,https://www.funda.nl/koop/harkema/huis-40885690-it-jachtfjild-11/,2002
De Singel 6,,,Harkema,9281 LK,,225000,house,5,,,https://www.funda.nl/koop/harkema/huis-40889577-de-singel-6/,1971
Master de Boerstrjitte 12,,,Boelenslaan,9233 KS,,285000,house,5,,,https://www.funda.nl/koop/boelenslaan/huis-40881128-master-de-boerstrjitte-12/,1974
Langelaan 77,,,Surhuisterveen,9231 EM,,155000,house,5,,,https://www.funda.nl/koop/surhuisterveen/huis-40895725-langelaan-77/,1951
Dr.Postmastraat 27,,,Buitenpost,9285 RG,,145000,house,5,,,https://www.funda.nl/koop/buitenpost/huis-40491992-drpostmastraat-27/,1972
Himellof 8,,,Buitenpost,9285 KG,,379000,house,6,,,https://www.funda.nl/koop/buitenpost/huis-40514100-himellof-8/,2004
Mounewei 11,,,Twijzel,9286 EH,,219000,house,6,,,https://www.funda.nl/koop/twijzel/huis-40658912-mounewei-11/,1936
De Gaai 14,,,Surhuisterveen,9231 JV,,389000,house,6,,,https://www.funda.nl/koop/surhuisterveen/huis-40679639-de-gaai-14/,1980
Koelstrawei 27,,,Twijzelerheide,9287 NS,,155000,house,5,,,https://www.funda.nl/koop/twijzelerheide/huis-40687302-koelstrawei-27/,1979
Ds Visscherwei 54,,,Boelenslaan,9233 LC,,469000,house,6,,,https://www.funda.nl/koop/boelenslaan/huis-40711464-ds-visscherwei-54/,1937
Hellingstraat 18,,,Stroobos,9872 PT,,595000,house,5,,,https://www.funda.nl/koop/stroobos/huis-40857125-hellingstraat-18/,1975
Groningerstreek 3,,,Stroobos,9871 PE,,157500,house,5,,,https://www.funda.nl/koop/stroobos/huis-40858851-groningerstreek-3/,1900
Optwizel 96,,,Twijzel,9286 EG,,415000,house,6,,,https://www.funda.nl/koop/twijzel/huis-86225856-optwizel-96/,1898
Simke Kloostermanstrjitte 3,,,Twijzel,9286 EP,,257000,house,8,,,https://www.funda.nl/koop/twijzel/huis-40885792-simke-kloostermanstrjitte-3/,1977
